,true_labels,predicted_labels
29157,5,0
12299,1,1
28306,5,5
22716,3,3
1398,0,0
15904,2,3
22629,3,3
20993,3,3
27097,5,5
31525,6,6
3445,0,0
1555,0,0
12487,1,1
9477,1,1
29772,6,6
26126,4,1
31621,6,3
1255,0,0
15526,2,2
1588,0,0
20038,3,3
843,0,0
30153,6,0
15569,2,3
19138,2,2
29731,5,1
27200,5,5
10594,1,1
24448,3,3
2893,0,0
2527,0,0
32461,6,6
14285,1,1
18846,2,2
13259,1,1
27877,5,5
7278,0,0
14143,1,1
14100,1,1
13377,1,1
7981,0,0
31230,6,6
5040,0,0
10087,1,1
20158,3,3
29604,5,5
3517,0,0
11031,1,1
12890,1,3
18123,2,2
26973,5,5
5576,0,0
25347,4,4
18941,2,3
26030,4,3
23402,3,3
30137,6,3
22234,3,3
15741,2,3
3776,0,0
8731,1,1
3834,0,0
25645,4,4
14784,2,2
6206,0,0
22311,3,3
10019,1,1
6202,0,0
26805,5,5
20785,3,3
14514,2,1
3578,0,0
4084,0,0
26453,5,5
10276,1,1
28293,5,5
21348,3,3
3160,0,0
11598,1,1
19207,2,2
6214,0,0
10814,1,1
13143,1,1
16070,2,2
32530,6,6
7486,0,0
31355,6,6
23860,3,3
7508,0,0
20776,3,3
23231,3,5
29273,5,5
16115,2,0
14446,2,2
10133,1,1
13538,1,1
27497,5,5
18729,2,2
22946,3,3
7161,0,0
11915,1,1
13344,1,1
13078,1,1
32318,6,3
3246,0,0
15763,2,1
13691,1,1
21405,3,3
28339,5,5
7955,0,0
26580,5,5
32238,6,0
13206,1,1
19696,3,2
3242,0,0
14370,1,1
15291,2,2
12351,1,1
20988,3,3
9555,1,1
31945,6,3
24319,3,2
14148,1,1
14766,2,3
25514,4,0
31414,6,6
8180,0,0
18413,2,3
28357,5,5
30577,6,3
11854,1,1
27629,5,5
11204,1,1
10365,1,1
28334,5,5
369,0,0
216,0,0
27085,5,5
25914,4,4
19712,3,3
31317,6,6
24931,4,2
25653,4,3
26869,5,5
14406,1,1
2406,0,0
31919,6,6
14399,1,1
2001,0,0
2213,0,0
21430,3,3
2772,0,0
29618,5,0
1923,0,0
3068,0,0
25705,4,4
9124,1,1
26494,5,5
2497,0,0
14084,1,1
3580,0,0
2842,0,0
31654,6,2
19408,3,3
20782,3,3
9320,1,1
23350,3,3
18136,2,2
31686,6,1
24880,4,0
12528,1,1
19984,3,3
10463,1,1
18669,2,1
6290,0,0
17202,2,2
2622,0,0
19144,2,2
10572,1,1
19659,3,3
8494,1,1
27185,5,5
32156,6,6
7760,0,0
1023,0,0
18308,2,2
3732,0,0
26171,4,5
23512,3,3
13981,1,1
6291,0,0
196,0,0
26117,4,0
21068,3,3
18251,2,2
12804,1,1
23516,3,3
13061,1,1
2518,0,0
23791,3,3
6753,0,0
20727,3,3
32054,6,6
20484,3,3
20838,3,3
20910,3,3
25002,4,3
16189,2,2
14145,1,1
20752,3,3
29116,5,5
22799,3,3
22095,3,3
12195,1,3
18675,2,2
31013,6,6
20367,3,3
8925,1,1
26763,5,0
14829,2,2
5096,0,0
31380,6,6
19398,3,3
3282,0,0
15260,2,2
10924,1,1
10269,1,1
27309,5,0
18586,2,1
4847,0,0
10272,1,1
23353,3,3
24266,3,3
9384,1,1
21235,3,3
3619,0,0
10925,1,1
10075,1,1
30338,6,3
10533,1,1
23039,3,3
24947,4,4
10563,1,1
3286,0,0
2140,0,0
20035,3,3
14795,2,3
28118,5,5
10124,1,1
1278,0,0
28657,5,5
22606,3,3
17854,2,2
23334,3,1
1377,0,0
3193,0,0
26180,4,0
9378,1,1
32422,6,6
14649,2,1
28912,5,5
27746,5,5
22197,3,5
11900,1,2
21002,3,3
18363,2,3
21570,3,3
6725,0,0
6169,0,0
19676,3,3
8769,1,1
23194,3,3
22021,3,3
3592,0,0
11057,1,1
2286,0,0
19726,3,3
29068,5,5
11402,1,1
16408,2,2
17975,2,2
3639,0,3
22962,3,3
29133,5,0
17287,2,5
345,0,0
7071,0,0
29041,5,0
21417,3,3
585,0,0
10643,1,1
17372,2,2
3507,0,2
18512,2,2
12801,1,1
24225,3,3
20798,3,3
18421,2,2
13151,1,1
16688,2,2
24689,4,4
21003,3,1
17701,2,2
25999,4,3
31674,6,4
17666,2,2
31958,6,3
28366,5,5
19039,2,2
31346,6,3
19051,2,2
4519,0,0
11773,1,1
25224,4,0
19444,3,3
28326,5,5
17406,2,2
24479,3,3
25509,4,1
25013,4,4
83,0,0
24863,4,4
9831,1,1
12659,1,1
24066,3,3
24415,3,3
1520,0,0
5384,0,0
25204,4,4
26529,5,5
17223,2,2
25639,4,4
28995,5,5
10769,1,1
5836,0,0
29717,5,5
25362,4,4
28485,5,5
25116,4,5
16792,2,2
14652,2,6
19671,3,3
